Hypogastruidae	Poduridae	Sminthuridae	Entomobryidae	Isotomidae	Bdelidae	Phthiracaridae	Eupthiracaridae	Trhypochthoniidae	Oppiidae	Eremulidae	Phytoseiidae	Oribatellidae	Haplozetidae	Hyopochthoniidae	Oribatulidae	Liacaridae	Mycobatidae	Hemileiidae	Ceratozetidae	Cepheidae	Parakalummidae	Galumnidae	Hermanniellidae	Achipteriidae	Camisiidae	Carbodidade	Cymbaeremaeidae	Damaeidae	Neoliodidae	Suctobelbidae	Tectocepheidae	Ctenacaridae	Ascidae	Pyroglyphidae	Tetranychidae	Tydeidae	Acaridae	Ologamastidae	Cunaxidae	Erythraeidae	Thripidae	Phlaeothripidae	Psocidae	Phoridae	Cecidomyiidae	Chironomidae	Mycetophilidae	Sciaridae	Aphididae	Liposcelididae	Psocidae	Miridae	Staphylinidae	Nitidulidae	Erotylidae	Mymaridae	Anthocoridae	Hydroptilidae	Dictynidae	Araneidae	Corinnidae	Plectreuridae	Homoalonnychidae	Gnaphosidae	Zoridae	Garypinidae	Xystodesmidae	Julidae	Lithobiidae
0	0	1	2	4	0	0	0	0	3	0	0	0	0	0	8	0	0	1	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	4	9	5	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	2	2	2	1	5	3	0	2	0	0	1	0	0	0	0	0	0	0	3	0	1	0	15	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	1	3	0	0	0	0	1	0	0	0	0	0	3	0	0	0	2	0	2	0	0	0	0	0	1	0	0	0	0	0	3	0	0	1	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3	14	0	0	0	0	0	0	0	20	0	5	6	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
1	0	0	0	1	0	0	0	0	2	0	2	5	0	0	7	0	0	0	2	3	2	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	1	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	0	0	2	0	0	0	0	0	2	0	0	4	0	0	5	0	0	2	0	4	0	0	2	4	0	2	0	0	0	0	3	0	0	0	0	0	2	3	0	0	53	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4	0	0	1	0	0	0	0	0	0	0	0	1	0	0	5	0	0	0	0	0	4	1	0	0	0	0	0	0	0	0	0	0	0	3	0	0	9	1	1	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7	0	0	0	2	0	2	0	0	6	0	0	5	0	0	5	0	0	0	6	4	0	0	0	5	0	6	0	0	0	0	17	0	0	0	1	0	6	7	1	0	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
37	0	0	0	0	0	0	0	0	0	0	0	2	0	0	22	0	0	0	1	1	2	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	14	1	0	0	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4	0	0	1	2	0	0	0	0	7	0	0	3	0	0	15	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	9	1	0	0	3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
